Slice;Time;r_20181219_09;c_20181219_09;g_20181219_09;r_20181219_16;c_20181219_16;g_20181219_16;r_20190429_05;c_20190429_05;g_20190429_05;r_20190429_06a;c_20190429_06a;g_20190429_06a;r_20190429_08;c_20190429_08;g_20190429_08;g_20190429_09;r_20190429_12a;c_20190429_12a;g_20190429_12a;r_20190429_13;c_20190429_13;g_20190429_13;r_20190429_14;c_20190429_14;g_20190429_14;r_20190731_20b;c_20190731_20b;r_20190806_06;c_20190806_06;r_20190806_20a;c_20190806_20a;r_20200801_01a;c_20200801_01a;g_20200801_01a;r_20200801_01b;c_20200801_01b;g_20200801_01b;r_20200801_02;c_20200801_02;g_20200801_02;r_20200801_03;c_20200801_03;g_20200801_03;r_20200801_04;c_20200801_04;g_20200801_04;r_20200801_10;c_20200801_10;g_20200801_10;r_20200801_11;c_20200801_11;g_20200801_11;r_20200801_12;c_20200801_12;g_20200801_12;r_20200801_13;c_20200801_13;g_20200801_13;r_20200801_14;c_20200801_14;g_20200801_14;r_20200801_16;c_20200801_16;g_20200801_16;r_20200801_17a;c_20200801_17a;g_20200801_17a;r_20200801_18a;c_20200801_18a;g_20200801_18a;r_20200801_19;c_20200801_19;g_20200801_19;r_20200801_20a;c_20200801_20a;g_20200801_20a;;r_20181219_01b;c_20181219_01b;r_20181219_04b;c_20181219_04b;r_20181219_5;c_20181219_5;r_20181219_8;c_20181219_8;r_20181219_12;c_20181219_12;r_20181219_14;c_20181219_14;r_20190131_3;c_20190131_3;r_20190131_5;c_20190131_5;r_20190131_8II;c_20190131_8II;r_20190322_4;c_20190322_4;r_20190322_7;c_20190322_7;r_20190429_11;c_20190429_11;r_20190731_3;c_20190731_3;r_20190731_7;c_20190731_7;r_20190731_8I;c_20190731_8I;r_20190731_9;c_20190731_9;r_20190731_11;c_20190731_11;r_20190731_12;c_20190731_12;r_20190731_13;c_20190731_13;r_20190731_15;c_20190731_13;r_20190731_18;c_20190731_18;r_20190731_19;c_20190731_19;r_20190731_21;c_20190731_21
1;0;0;0;3783;0;0;5435;0;0;10696;0;0;3114;0;0;6506;8103;0;0;6221;0;0;11182;1;1;5814;1;1;1;1;1;1;;;2800;;;2840;;;2716;0;0;3374;1;1;4076;;;3328;1;1;4604;;;2497;;;3219;;;3014;;;2514;1;1;3345;1;1;3789;;;2628;;;2778;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;1;1;;;;;0;0;;;;;;;;;;;;
2;5;0;0;4104;0;0;5610;0;0;10275;0;0;2962;0;0;5987;8033;0;0;6799;0;0;10591;1;1;5684;1;1;1;1;1;1;;;2924;;;2881;;;2755;1;1;4032;1;1;4170;;;3379;1;1;4238;;;2465;;;3142;;;2995;;;2522;1;1;3521;1;1;3445;;;2637;;;2757;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;
3;10;0;0;4030;1;1;6892;0;0;10373;0;0;3333;0;0;6379;8441;0;0;6503;0;0;11730;1;1;5331;1;1;1;1;1;1;;;2825;;;2999;;;2701;1;1;3744;1;1;3675;;;3336;1;1;4699;;;2441;;;3037;;;2998;;;2474;1;1;3187;1;1;3164;;;2550;;;2823;;;;;;;;0;0;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;
4;15;0;0;3967;1;1;6070;0;0;10013;0;0;3163;0;0;6135;8010;0;0;6323;0;0;10690;1;1;4435;1;1;1;1;1;1;;;2856;;;3049;;;2747;1;1;3981;1;1;3544;;;3404;1;1;4036;;;2460;;;3154;;;3021;;;2556;0;0;3212;0;0;3017;;;2662;0;0;3059;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;
5;20;0;0;4052;1;1;7512;0;0;10154;0;0;3260;0;0;6364;7706;0;0;6740;0;0;10511;1;1;4475;1;1;1;1;1;1;;;2772;;;2845;;;2859;1;1;3985;1;1;3566;;;3496;0;0;3859;;;2517;;;3094;;;2988;;;2561;0;0;3156;0;0;3027;;;2679;1;1;3656;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;
6;25;0;0;3995;1;1;6967;0;0;10917;0;0;3322;0;0;6198;8415;0;0;6907;0;0;10901;0;0;3981;1;1;0;0;1;1;;;2899;;;2917;;;2825;1;1;3790;1;1;3234;;;3462;0;0;3927;;;2499;;;3216;;;3021;;;2489;0;0;3110;0;0;3042;;;2715;1;1;3874;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;
7;30;1;1;5457;1;1;7818;0;0;9483;0;0;3243;0;0;6300;8225;0;0;6537;0;0;11439;0;0;4150;1;1;0;0;0;0;;;2939;;;2940;;;2766;1;1;3723;1;1;3225;;;3473;0;0;3848;;;2637;;;3080;;;3131;;;2641;0;0;3159;0;0;2972;;;2770;1;1;3759;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;1;1;;;0;0;1;1;0;0;;;;;;;;;;
8;35;1;1;7046;1;1;7991;0;0;10192;0;0;3285;0;0;6161;8227;0;0;7348;0;0;11749;0;0;4168;1;1;0;0;0;0;;;2953;;;2908;;;2816;1;1;3810;0;0;3166;;;3374;0;0;3707;;;2455;;;3304;;;2896;;;2504;0;0;3179;0;0;3016;;;2725;1;1;3582;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;1;1;;;1;1;1;1;1;1;;;;;;;;;;
9;40;1;1;5501;1;1;7919;0;0;11104;0;0;3237;0;0;6705;8221;0;0;6619;0;0;10840;0;0;4031;0;0;0;0;0;0;;;3001;;;2906;;;2839;1;1;3432;0;0;3233;0;0;3399;0;0;3794;;;2447;;;3078;;;3075;;;2438;0;0;3130;0;0;2977;;;2676;1;1;2789;;;;;;;;1;1;;;;;0;0;;;;;1;1;;;;;;;1;1;;;1;1;1;1;1;1;;;;;;;;;;
10;45;1;1;5603;1;1;8264;0;0;10786;0;0;3309;0;0;5964;8809;0;0;6787;0;0;11209;0;0;4106;0;0;0;0;0;0;;;2953;;;2987;;;2780;0;0;3254;0;0;3284;1;1;4422;0;0;3718;;;2414;;;3101;;;2977;;;2470;0;0;3205;0;0;2875;;;2686;1;1;3760;;;;;;;;1;1;;;;;1;1;;;;;1;1;;;;;;;1;1;;;1;1;1;1;1;1;;;;;;;;;;
11;50;1;1;5490;1;1;6182;0;0;10143;0;0;3203;0;0;5875;8338;0;0;7025;0;0;11958;0;0;4395;0;0;0;0;0;0;;;3039;;;2992;;;2819;0;0;3057;0;0;3231;1;1;4608;0;0;3583;;;2481;;;3065;;;3048;;;2373;0;0;3090;0;0;2792;;;2694;1;1;2870;;;;;;;;1;1;;;;;1;1;;;;;1;1;;;;;;;1;1;;;1;1;1;1;1;1;;;;;;;;;;
12;55;1;1;5298;1;1;5618;0;0;10550;0;0;3293;0;0;5933;8457;0;0;7192;0;0;11512;0;0;4130;0;0;0;0;0;0;;;2780;;;2786;;;2814;0;0;3114;0;0;3124;1;1;4902;0;0;3483;;;2499;;;3129;;;3020;;;2502;0;0;3378;0;0;2817;;;2697;1;1;3475;;;;;;;;1;1;;;;;1;1;;;;;1;1;;;;;0;0;0;0;;;1;1;1;1;1;1;;;;;;;;;;
13;60;1;1;5085;0;0;5570;0;0;9650;0;0;3396;0;0;5820;8453;0;0;6181;0;0;11701;0;0;4507;0;0;0;0;0;0;;;3018;;;2928;;;2884;0;0;3171;0;0;3048;1;1;4738;0;0;3359;;;2472;;;3073;;;3045;;;2659;0;0;3174;0;0;2954;;;2759;1;1;3872;;;;;;;;0;0;;;;;1;1;;;;;1;1;;;;;1;1;0;0;;;1;1;1;1;1;1;;;;;;;;;;
14;65;1;1;4673;0;0;5374;0;0;9604;0;0;3335;0;0;6520;9081;0;0;6423;0;0;11112;0;0;4139;0;0;0;0;0;0;;;2994;;;3008;;;2822;0;0;3389;0;0;3069;1;1;4421;0;0;3297;;;2475;;;2957;;;3006;;;2597;0;0;3050;0;0;2779;;;2650;1;1;3994;;;;;;;;0;0;;;;;1;1;;;;;0;0;;;;;1;1;0;0;;;1;1;;;1;1;;;;;;;;;;
15;70;1;1;4625;0;0;5330;0;0;9824;0;0;3217;0;0;6128;8538;0;0;6326;0;0;11539;0;0;4168;0;0;0;0;0;0;;;2919;;;2859;;;2955;0;0;3028;0;0;3064;1;1;3990;0;0;3648;;;2466;;;2989;;;2962;;;2647;0;0;2895;0;0;2848;;;2821;1;1;3260;;;;;;;;0;0;;;;;1;1;;;;;0;0;;;;;1;1;0;0;;;1;1;;;1;1;;;;;;;;;;
16;75;1;1;4379;0;0;5510;0;0;10203;0;0;3087;0;0;6276;8197;0;0;6296;0;0;11471;0;0;3956;0;0;0;0;0;0;;;3004;;;2954;;;2921;0;0;3049;0;0;3036;1;1;4450;0;0;3808;;;2468;;;3109;;;2972;;;2597;0;0;2978;0;0;2755;;;2710;1;1;3250;;;;;;;;0;0;;;;;1;1;;;;;0;0;;;;;1;1;0;0;;;1;1;;;0;0;;;;;;;;;;
17;80;1;1;4070;0;0;5263;0;0;11284;0;0;3315;0;0;6071;8041;0;0;6657;0;0;11241;0;0;4015;0;0;0;0;0;0;;;2954;;;2914;;;2841;0;0;3291;0;0;3025;1;1;4575;0;0;3575;;;2460;;;3058;;;3149;;;2629;0;0;2914;0;0;2782;;;2691;1;1;3053;;;;;;;;0;0;;;;;1;1;;;;;0;0;;;;;1;1;0;0;;;1;1;;;0;0;;;;;;;;;;
18;85;0;0;3829;0;0;5385;0;0;9987;0;0;3605;0;0;6300;8498;0;0;6817;0;0;11206;0;0;3788;0;0;0;0;0;0;;;2871;;;3013;;;2780;0;0;3236;0;0;3005;1;1;4194;0;0;3600;;;2473;;;3191;;;3003;;;2555;0;0;2978;0;0;2692;;;2720;0;0;3137;;;;;;;;0;0;;;;;1;1;;;;;0;0;;;;;1;1;0;0;;;1;1;;;0;0;0;0;;;;;;;;
19;90;0;0;3703;0;0;5279;0;0;11217;0;0;3730;0;0;6776;8854;0;0;6649;0;0;11330;0;0;3814;0;0;0;0;0;0;;;2868;;;2942;;;2878;0;0;3082;0;0;3093;1;1;4229;0;0;3108;;;2548;;;3085;;;3056;;;2616;0;0;3030;0;0;2956;;;2800;0;0;3070;;;;;;;;0;0;;;;;0;0;0;;;;0;0;;;;;1;1;0;0;;;1;1;;;0;0;1;1;;;;;;;;
20;95;0;0;3894;0;0;5315;0;0;10531;0;0;3520;1;1;6782;8844;1;1;7672;0;0;11672;0;0;3860;0;0;0;0;0;0;0;0;2963;;;2968;;;2959;0;0;3288;0;0;3184;1;1;3845;0;0;3205;;;2466;;;3091;;;3040;;;2580;0;0;3038;0;0;2776;;;2754;0;0;3013;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;1;1;0;0;;;1;1;;;0;0;1;1;;;;;;;;
21;100;0;0;3799;0;0;5038;0;0;10096;0;0;3333;1;1;8627;7923;1;1;8077;0;0;10667;0;0;3652;0;0;0;0;0;0;1;1;3586;;;2986;;;2931;0;0;2979;0;0;3186;0;0;3786;0;0;3213;;;2494;;;3015;;;3081;;;2594;1;2;3673;0;0;2764;;;2871;0;0;3099;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;1;1;0;0;;;0;0;;;0;0;1;1;;;;;;;;
22;105;0;0;3827;0;0;4764;0;0;10919;0;0;3249;1;1;9324;8975;1;1;10520;0;0;11513;0;0;3761;0;0;0;0;0;0;1;1;4308;;;3105;;;2967;0;0;2950;0;0;2892;0;0;3491;0;0;3199;;;2492;0;0;3329;;;3045;;;2667;1;2;3976;0;0;2675;;;2810;0;0;2955;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;1;1;0;0;;;0;0;;;0;0;1;1;;;;;;;;
23;110;0;0;3942;0;0;5206;0;0;11338;1;1;4271;1;1;8986;8743;1;1;9332;0;0;10700;0;0;3711;0;0;0;0;0;0;1;1;3821;;;2892;;;3077;0;0;2895;0;0;2943;0;0;3640;0;0;3296;;;2480;1;1;4084;;;3306;;;2625;1;2;3608;0;0;2747;;;2791;0;0;3045;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;1;1;0;0;;;0;0;;;0;0;1;1;;;;;;;;
24;115;0;0;4062;0;0;5079;0;0;10999;1;1;4759;1;1;9167;8606;1;1;8590;0;0;10950;0;0;3747;0;0;0;0;0;0;1;1;3792;;;2903;;;2913;0;0;2990;0;0;2972;0;0;3411;0;0;3320;;;2502;1;1;3947;;;3072;;;2664;1;2;3484;0;0;2891;0;0;3072;0;0;3136;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;1;1;0;0;0;0;0;0;;;0;0;1;1;;;;;;;;
25;120;0;0;3923;0;0;4592;0;0;11495;1;1;4488;1;1;9378;8647;1;1;8392;0;0;11223;0;0;3614;0;0;0;0;0;0;1;1;3554;;;3059;;;3178;0;0;3057;0;0;3029;0;0;3478;1;1;4240;;;2491;1;1;3839;;;3268;;;2626;1;2;3395;1;1;3447;1;1;3515;0;0;3052;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;1;1;0;0;1;1;0;0;;;0;0;1;1;;;;;;;;
26;125;0;0;3528;0;0;4922;0;0;10275;1;1;4492;1;1;7866;8249;1;1;8623;0;0;11930;0;0;3604;0;0;0;0;0;0;1;1;3279;;;3101;;;3234;0;0;2947;0;0;2904;0;0;3422;1;1;4277;;;2496;1;1;3484;;;2980;;;2626;1;2;3290;1;1;3621;1;1;3804;0;0;3071;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;0;0;0;0;1;1;0;0;;;0;0;1;1;;;;;;;;
27;130;0;0;3670;0;0;5035;0;0;11411;1;1;4641;1;1;7631;8493;1;1;9731;0;0;11612;0;0;3531;0;0;0;0;0;0;1;1;3458;;;3111;0;0;3173;0;0;3081;1;2;3265;0;0;3517;1;1;4691;;;2509;1;1;4021;;;3123;;;2734;1;2;3430;1;1;3572;1;1;3294;0;0;3015;;;;;;;;0;0;;;;;0;0;1;1;;;0;0;;;;;0;0;0;0;1;1;0;0;;;0;0;1;1;;;;;;;;
28;135;0;0;3590;0;0;5069;0;0;10383;1;1;4450;1;1;6641;8809;1;1;10122;0;0;11203;0;0;3671;0;0;1;1;0;0;1;1;3416;;;3032;1;1;4374;1;2;3634;1;2;3388;0;0;3503;1;1;4844;;;2486;1;1;3701;;;3150;;;2679;1;2;3230;1;1;3810;1;1;3523;0;0;3118;;;;0;;;;0;0;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;1;1;0;0;;;0;0;0;0;;;;;;;;
29;140;0;0;3398;0;0;4900;0;0;10980;1;1;4581;0;0;6861;9614;1;1;9584;0;0;11156;1;1;4232;0;0;1;1;0;0;1;1;3204;;;3239;1;1;4474;1;2;3516;1;2;3406;0;0;3445;1;1;5007;;;2474;1;1;3620;;;3251;;;2705;1;2;3345;1;1;3320;1;1;3221;0;0;3157;;;;1;1;;;0;0;;;;;0;0;0;0;1;1;0;0;;;;;0;0;0;0;1;1;0;0;;;0;0;0;0;;;;;;;;
