parasite,analysis,Fluorescence Signal/Area before replication,Time to last replication,Time last replication to egress,Start 1st replication,End 1st Replication,Lenght 1st round of Replication (min),1st Division,Time between Replication end and division ,Start 2nd replication,Time between 1st & 2nd replication,Time between division & 2nd replication,End 2nd round of replication,Lenght 2nd round of replication,Start 3rd round of replication,End 3rd round of replication ,Lenght 3rd round of replication,Time between 2nd & 3rd round of replication,2nd Divison,Time between 2rd round & 2nd Division,Start 4th,End 4th,Lenght 4th,Start 5th,End 5th,Lenght 5th,3rd Division,Time between 3rd round and 3rd Division,Time between 2nd Div & 4th Rep,Time between 2nd Div & 5th Rep,Synchronous first,Bridge,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01a,20181219,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04a,20181219,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04b,20181219,104.7231626,,,29,40,55,55,75,62,110,35,69,35,69,77,40,0,79,40,83,90,35,,,,86,45,20,,no,,
6,20181219,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20181219,48.5079954,,,4,13,45,23,50,30,85,35,36,30,36,43,35,0,45,35,48,57,45,49,57,40,,,15,20,no,,Tree of lineage
9,20181219,133.1231047,650,150,7,18,55,29,55,34,80,25,41,35,40,46,30,-5,49,,,,,,,,,,,,no,,Tree of lineage
10a,20181219,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20181219,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20181219,32.96679363,,,69,79,50,100,105,103,120,15,109,30,106,113,35,-15,123,20,126,,,127,135,40,123,50,15,20,no,,non syn replication/ syn division
16,20181219,230.4050105,600,155,3,13,50,24,55,34,105,50,41,35,39,47,40,-10,,,,,,,,,,,,,no,,Tree of lineage
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01b,20190131,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20190131,1263.261073,,,20,28,40,53,125,,,,,,,,,,,,,,,,,,,,,,,,
10a,20190131,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12b,20190131,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16a,20190131,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16b,20190131,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
