20200802,Death?,Fluorescence Signal/Area before replication,Start replication,Last replication,Egress,Time to last replication,Time to egress,Time last replication to egress,Syn Events?,Start 1st R,End 1st R,Lenght 1st R,1st D,End 1st R to D,Start 2nd R,End 2nd R,Lenght 2nd R,Start 3rd R,End 3rd R,Lenght 3rd R,1st D to 2nd R,2nd R to 3rd R,2nd D,3rd D,Start 4th R,End 4th R,Lenght 4th R,Start 5th R,End 5th R,Lenght 5th R,Start 6th R,End 6th R,Lenght 6th R,Start 7th R,End 7th R,Lenght 7th R,4th D,Start 8th R,End 8th R,Lenght 8th R,Start 9th R,End 9th R,Lenght 9th R,analysis
1a,no,126.4774118,21,165,194,720,865,145,,21,30,45,45,75,53,59,30,63,70,35,115,20,67,79,76,83,35,79,86,35,87,95,40,87,95,40,90,,,,,,,20200802
1b,no,124.4880282,33,196,211,815,890,75,Yes,33,43,50,63,100,65,76,55,65,76,55,110,-55,86,87,88,97,45,88,97,45,94,104,50,98,108,50,104,106,116,50,110,,,20200802
2,no,93.9976497,28,162,190,670,810,140,Yes,28,40,60,53,65,63,74,55,63,74,55,115,-55,81,,85,,,88,96,40,,,,,,,,,,,,,,20200802
3,no,149.3749699,2,143,162,705,800,95,Yes,2,10,40,24,70,28,35,35,28,36,40,90,-35,,52,50,59,45,50,59,45,57,65,40,57,65,40,,,,,,,,20200802
4,no,,,134,166,,,160,Yes,,8,,24,80,27,39,60,27,39,60,95,-60,52,,57,63,30,60,67,35,64,,,,,,,,,,,,,20200802
5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802
6,no,,,116,157,,,205,,,,,9,45,17,22,25,23,30,35,85,5,,,,,,,,,,,,,,,,,,,,,,20200802
7a,no,,,125,157,,,160,Yes,,,,20,100,25,34,45,25,34,45,125,-45,45,45,48,55,35,49,,,,,,,,,,,,,,,,20200802
7b,no,,,113,144,,,155,,,,,,,2,9,35,10,17,35,10,5,18,28,24,32,40,27,35,40,33,41,40,38,46,40,,43,52,45,48,,,20200802
8,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802
9I,no,,10,146,186,680,880,200,,10,18,40,36,90,44,51,35,55,,,130,20,,,,,,,,,,,,,,,,,,,,,,20200802
9II,yes,,13,168,,775,,,,13,20,35,34,70,49,,,60,67,35,145,,,,,,,,,,,,,,,,,,,,,,,20200802
10,no,125.8577121,10,140,176,650,830,180,Yes,10,21,55,37,80,39,48,45,40,52,60,90,-40,57,,61,69,40,61,69,40,,,,,,,,,,,,,,20200802
11,no,,,127,159,,,160,,,5,25,22,85,25,35,50,33,44,55,100,-10,44,,48,55,35,50,60,50,,,,,,,,,,,,,,20200802
12,no,56.8987214,35,163,188,640,765,125,,35,44,45,56,60,65,70,25,72,77,25,105,10,78,,83,88,25,87,93,30,,,,,,,,,,,,,,20200802
13,no,113.4832672,23,152,198,645,875,230,Yes,23,30,35,41,55,52,59,35,52,61,45,110,-35,,,75,79,20,76,80,20,,,,,,,,,,,,,,20200802
14,no,153.6241733,39,183,211,720,860,140,,39,58,95,70,60,77,87,50,86,97,55,95,-5,,105,102,109,35,105,114,45,,,,,,,,,,,,,,20200802
15,no,128.3040584,26,167,208,705,910,205,,26,34,40,46,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802
16,no,80.26626117,53,185,214,660,805,145,,53,63,50,79,80,82,90,40,89,96,35,95,-5,99,108,102,110,40,105,114,45,111,119,40,116,124,40,118,,,,,,,20200802
17a,no,,,123,154,,,155,Yes,,3,15,15,60,21,33,60,21,33,60,90,-60,42,42,45,54,45,45,54,45,51,59,40,57,,,,,,,,,,20200802
17b,no,,,79,111,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802
18a,no,,,114,147,,,165,,,4,20,16,60,25,30,25,32,38,30,105,10,39,49,43,49,30,49,53,20,52,,,53,,,,,,,,,,20200802
18b,no,73.55631313,68,197,229,645,805,160,,68,94,130,102,40,109,123,70,,,,75,,,,,,,,,,,,,,,,,,,,,,,20200802
19,no,109.0690557,25,160,190,675,825,150,Yes,25,35,50,54,95,56,62,30,57,65,40,105,-25,78,78,82,90,40,82,90,40,82,90,40,,,,,,,,,,,20200802
20a,no,97.24528594,5,149,183,720,890,170,,5,18,65,38,100,40,48,40,50,58,40,110,10,57,68,61,69,40,67,76,45,73,83,50,75,,,,,,,,,,20200802
20b,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802
21,no,60.39766329,6,133,168,635,810,175,,6,17,55,35,90,38,46,40,,,,105,,,,,,,,,,,,,,,,,,,,,,,20200802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802_2
1,Close to egress,,,136,,,,,Yes,,9,,24,75,28,33,25,34,42,40,95,5,45,52,51,57,30,51,57,30,58,,,59,,,,,,,,,,20200802_2
2,Faulty egress,,,134,176,,,210,,,6,,16,50,28,33,25,35,42,35,110,10,41,,48,55,35,49,57,40,,,,,,,,,,,,,,20200802_2
3,Faulty egress,97.17346221,35,175,205,700,850,150,,35,45,50,58,65,67,75,40,68,77,45,110,-35,87,89,92,,,,,,,,,,,,,,,,,,,20200802_2
4,Faulty egress/weak fluorescence,41.19315733,14,,170,,780,,,14,22,40,35,65,41,45,20,,,,95,,,,,,,,,,,,,,,,,,,,,,,20200802_2
5,Close to egress,,,,,,,,,,7,,19,60,26,33,35,36,41,25,95,15,43,53,46,,,,,,,,,,,,,,,,,,,20200802_2
6,,147.6797443,8,160,189,760,905,145,Yes,8,19,55,50,155,57,68,55,57,68,55,190,-55,78,78,82,90,40,82,90,40,89,99,50,89,99,50,,,,,,,,20200802_2
7,Faulty egress,,,114,143,,,145,,,4,,16,60,18,27,45,25,34,45,70,-10,35,45,37,46,45,40,54,70,46,,,47,,,,,,,,,,20200802_2
8,yes (but late),65.38303073,29,,,,,,,29,37,40,49,60,60,65,25,60,68,40,115,-25,77,78,,,,,,,,,,,,,,,,,,,,20200802_2
9,Close to egress,,,137,,,,,,,8,,26,90,33,41,40,44,52,40,125,15,51,62,56,64,40,61,69,40,66,74,40,,,,,,,,,,,20200802_2
10,yes (but late),202.727345,12,,,,,,Yes,12,25,65,44,95,45,58,65,45,58,65,100,-65,68,69,74,82,40,77,,,,,,,,,,,,,,,,20200802_2
11,yes (but late),,,,,,,,,,,,12,,18,25,35,26,34,40,,5,38,45,40,48,40,40,48,40,47,55,40,53,61,,,,,,,,,20200802_2
12,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802_2
13,yes (but late),,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802_2
14I,yes (but late),,35,,,,,,Yes,35,42,35,52,50,61,69,40,61,69,40,95,-40,77,80,81,86,25,85,94,45,94,103,45,94,103,,,,,,,,,20200802_2
14II,yes (but late),,61,,,,,,,61,69,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802_2
15,yes (but late)/fluorescence too low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802_2
16,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200802_2
17,yes (but late),52.68587896,32,,,,,,,32,45,65,58,65,65,72,35,74,80,30,100,10,,,,,,,,,,,,,,,,,,,,,,20200802_2
18,Close to egress,129.9729767,7,138,,655,,,,7,15,40,27,60,33,40,,42,50,40,90,10,47,,56,,,,,,,,,,,,,,,,,,,20200802_2
